,City,Lat,Lng,Cloudiness,Max Temp,Humidity,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,1,15.8,92,18.41,US,1619382310
1,Mar del Plata,-38.0023,-57.5575,40,64.0,67,11.5,AR,1619382572
2,Rikitea,-23.1203,-134.9692,100,77.86,74,8.1,PF,1619382377
3,Flin Flon,54.7682,-101.865,90,41.0,36,9.22,CA,1619382573
4,Portland,45.5234,-122.6762,90,59.0,51,5.75,US,1619382425
5,Itoman,26.1247,127.6694,20,66.2,77,6.91,JP,1619382573
6,Kavaratti,10.5669,72.642,1,84.06,72,8.37,IN,1619382574
7,Sherpur,25.0188,90.0175,0,81.84,28,6.67,BD,1619382574
8,Raudeberg,61.9875,5.1352,49,39.99,67,12.01,NO,1619382574
9,Punta Arenas,-53.15,-70.9167,75,57.2,62,19.57,CL,1619382439
10,Shelburne,44.0787,-80.2041,88,41.0,80,19.19,CA,1619382575
11,Sault Ste. Marie,46.5168,-84.3333,20,37.4,52,14.97,CA,1619382533
12,Srednekolymsk,67.45,153.6833,34,9.68,89,5.19,RU,1619382575
13,Hobart,-42.8794,147.3294,75,57.2,62,17.27,AU,1619382574
14,Boca del Rio,19.1,-96.1,20,87.01,70,16.11,MX,1619382535
15,Deputatsky,69.3,139.9,100,18.28,93,4.83,RU,1619382522
16,Chui,-33.6971,-53.4616,98,62.31,83,12.64,UY,1619382576
17,Wenling,28.3669,121.36,68,62.01,80,6.38,CN,1619381797
18,Atuona,-9.8,-139.0333,50,79.92,72,15.3,PF,1619382577
19,Tiksi,71.6872,128.8694,100,22.96,96,1.72,RU,1619382410
20,Mahébourg,-20.4081,57.7,75,75.2,94,12.66,MU,1619382419
21,Pacific Grove,36.6177,-121.9166,90,60.8,59,10.36,US,1619382348
22,Ushuaia,-54.8,-68.3,20,55.4,50,16.11,AR,1619382503
23,Port Alfred,-33.5906,26.891,100,70.36,65,13.11,ZA,1619382578
24,Champerico,14.3,-91.9167,40,91.4,62,6.91,GT,1619382578
25,Saskylakh,71.9167,114.0833,100,16.18,95,14.07,RU,1619382492
26,Busselton,-33.65,115.3333,100,52.0,97,4.36,AU,1619382384
27,Mataura,-46.1927,168.8643,72,46.0,80,11.99,NZ,1619382450
28,Vaini,-21.2,-175.2,75,75.2,100,5.75,TO,1619382579
29,Puerto Ayora,-0.7393,-90.3518,20,84.2,65,17.27,EC,1619382580
30,San Patricio,28.017,-97.5169,1,87.8,42,12.66,US,1619382580
